0.312243	0.58034	1	1	0.312243	0.58034	0.6	0.6	5.19994	0
0.812395	0.697056	7.09004	1.35996	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.20908	0.550333	9.39022	0.0141853	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.22595	0.70404	4.3356	2.78353	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.50929	0.759328	4.36269	2.4729	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.71044	0.862999	4.5065	2.51157	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
2.03082	0.843029	4.85955	1.82694	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.23017	0.910721	4.72878	1.79124	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.55167	0.834736	5.03604	1.07046	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.81512	0.879031	5.10464	1.03541	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.0914	0.801195	5.21285	0.551708	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.3642	0.81964	5.20525	0.502823	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.72635	0.562869	5.46195	-0.551925	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
4.02029	0.532428	5.54746	-0.563603	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.29456	0.539695	5.54195	-0.435923	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.5584	0.521445	5.27986	-0.437867	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.73509	0.720146	5.125	0.349357	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.98932	0.734206	4.90639	0.310279	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.2792	0.685974	5.00108	0.0785846	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.53464	0.687035	5.34	0.100825	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.83098	0.690867	5.39613	0.0906931	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.06182	0.690454	4.99904	0.0482703	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
6.30554	0.820451	4.96979	0.498248	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.55851	0.846139	4.98417	0.500647	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
6.81112	0.793161	5.0061	0.22665	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
7.05529	0.804326	4.7427	0.199835	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
7.26596	0.89294	4.67801	0.481832	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.57132	0.927587	5.30229	0.562831	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
7.84271	0.837716	5.33636	0.148073	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
8.09631	0.846824	4.90248	0.116742	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
8.32974	0.850238	4.87938	0.110373	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
8.60842	0.860013	5.43656	0.166124	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
8.85596	0.964722	5.37617	0.508881	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
9.1596	0.995009	5.2914	0.503124	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
9.4012	1.04144	5.24169	0.582063	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
9.69272	1.07587	5.29609	0.594703	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
9.95548	1.27425	5.26309	1.18612	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
10.2104	1.33086	4.84239	1.12089	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
10.4225	1.43273	4.77073	1.28848	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
10.6589	1.49646	4.52104	1.2488	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
10.8701	1.51328	4.50204	1.09406	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
11.1428	1.57486	4.93437	1.15652	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
11.4168	1.61293	4.99465	1.08081	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
11.6433	1.66333	4.80679	1.0524	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
11.868	1.73682	4.77014	1.12873	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
12.1314	1.79856	5.07976	1.18191	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
12.3812	1.82396	5.07926	1.06521	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
